id,name,type,specimen_id,plane_of_section_id,failed,section_thickness,qc_date,expression,storage_directory,reference_space_id,weight,sphinx_id,rnaseq_design_id,red_channel,green_channel,blue_channel,delegate,failed_facet
73521811,,SectionDataSet,71414707,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73521811/,9,5270,105689,,,,,f,734881840
70928373,,SectionDataSet,70230527,1,f,25,02/05/09 22:54,t,/external/aibssan/production32/prod333/image_series_70928373/,9,5270,34687,,,,,f,734881840
71587832,,SectionDataSet,70720618,1,f,25,02/05/09 22:57,t,/external/aibssan/production32/prod335/image_series_71587832/,9,5470,135673,,,,,f,734881840
227159,,SectionDataSet,72498,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_227159/,9,5270,20606,,,,,f,734881840
77414147,,SectionDataSet,77281706,1,f,25,02/05/09 22:31,t,/external/aibssan/production32/prod343/image_series_77414147/,9,5470,11308,,,,,f,734881840
73520994,,SectionDataSet,71414862,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73520994/,9,5470,164355,,,,,f,734881840
75988636,,SectionDataSet,75448928,1,f,25,02/05/09 23:07,t,/external/aibssan/production32/prod343/image_series_75988636/,9,5270,133696,,,,,f,734881840
72283810,,SectionDataSet,71282188,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72283810/,9,5470,80600,,,,,f,734881840
71836809,,SectionDataSet,71035725,1,f,25,02/05/09 22:59,t,/external/aibssan/production32/prod336/image_series_71836809/,9,5270,56668,,,,,f,734881840
71836848,,SectionDataSet,71061925,1,f,25,02/05/09 22:59,t,/external/aibssan/production32/prod336/image_series_71836848/,9,5270,122117,,,,,f,734881840
73636150,,SectionDataSet,71478349,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73636150/,9,5270,84730,,,,,f,734881840
80517217,,SectionDataSet,80329294,1,f,25,02/05/09 22:34,t,/external/aibssan/production32/prod345/image_series_80517217/,9,5470,66504,,,,,f,734881840
74357550,,SectionDataSet,73425078,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod339/image_series_74357550/,9,5270,19430,,,,,f,734881840
79556662,,SectionDataSet,79355475,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79556662/,9,5470,71799,,,,,f,734881840
77371771,,SectionDataSet,77281678,1,f,25,02/05/09 22:32,t,/external/aibssan/production32/prod343/image_series_77371771/,9,5270,137520,,,,,f,734881840
75988547,,SectionDataSet,75343464,1,f,25,02/05/09 23:07,t,/external/aibssan/production32/prod343/image_series_75988547/,9,5470,139817,,,,,f,734881840
77874610,,SectionDataSet,77591283,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_77874610/,9,5270,49743,,,,,f,734881840
71717078,,SectionDataSet,70929851,1,f,25,02/05/09 22:58,t,/external/aibssan/production32/prod336/image_series_71717078/,9,5270,9387,,,,,f,734881840
71924321,,SectionDataSet,71101570,1,f,25,02/05/09 22:59,t,/external/aibssan/production32/prod336/image_series_71924321/,9,5270,121788,,,,,f,734881840
72128753,,SectionDataSet,71250808,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72128753/,9,5270,72556,,,,,f,734881840
75773700,,SectionDataSet,75180083,1,f,25,02/05/09 23:07,t,/external/aibssan/production32/prod342/image_series_75773700/,9,5270,114778,,,,,f,734881840
77371795,,SectionDataSet,77238075,1,f,25,02/05/09 22:32,t,/external/aibssan/production32/prod343/image_series_77371795/,9,5270,34111,,,,,f,734881840
77280430,,SectionDataSet,77232699,1,f,25,02/05/09 22:32,t,/external/aibssan/production32/prod343/image_series_77280430/,9,5270,161059,,,,,f,734881840
73636030,,SectionDataSet,71456188,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73636030/,9,5270,144014,,,,,f,734881840
74881937,,SectionDataSet,74703383,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74881937/,9,5270,92556,,,,,f,734881840
71717188,,SectionDataSet,70999140,1,f,25,02/05/09 22:58,t,/external/aibssan/production32/prod336/image_series_71717188/,9,5270,95868,,,,,f,734881840
70744514,,SectionDataSet,70091620,1,f,25,02/05/09 22:53,t,/external/aibssan/production32/prod333/image_series_70744514/,9,5270,47920,,,,,f,734881840
75081396,,SectionDataSet,74899372,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75081396/,9,5270,105811,,,,,f,734881840
72119593,,SectionDataSet,71250752,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72119593/,9,5470,148611,,,,,f,734881840
73521000,,SectionDataSet,71414866,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73521000/,9,5470,98146,,,,,f,734881840
72283790,,SectionDataSet,71250788,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72283790/,9,5470,126825,,,,,f,734881840
71717083,,SectionDataSet,70971025,1,f,25,02/05/09 22:58,t,/external/aibssan/production32/prod336/image_series_71717083/,9,5270,134413,,,,,f,734881840
293027,,SectionDataSet,72656,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_293027/,9,5270,130650,,,,,f,734881840
72077454,,SectionDataSet,71185726,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72077454/,9,5270,7517,,,,,f,734881840
